text,label
सेवा से संबंधित कोई समस्या हो तो कृपया संपर्क करें।,genuine
आपका पुनः चालू अपडेट कर दिया गया है।,genuine
आपने फ्री रिचार्ज जीत लिया है! अधिक जानकारी के लिए अभी कॉल करें।,fraud
"आपका बैंक खाता अपडेट नहीं है, कृपया तुरंत 9876543210 पर कॉल करें।",fraud
"आपका एकाउंट बंद अपडेट नहीं है, कृपया तुरंत 9876543210 पर कॉल करें।",fraud
"आपका केवाईसी अपडेट नहीं है, कृपया तुरंत 9876543210 पर कॉल करें।",fraud
"नमस्ते, आपका धन्यवाद सफलतापूर्वक पूरा हुआ।",genuine
"आपका केवाईसी अपडेट नहीं है, कृपया तुरंत 9876543210 पर कॉल करें।",fraud
आपने ओटीपी जीत लिया है! अधिक जानकारी के लिए अभी कॉल करें।,fraud
एकाउंट बंद की जानकारी के बिना आपका खाता बंद किया जा सकता है।,fraud
सेवा से संबंधित कोई समस्या हो तो कृपया संपर्क करें।,genuine
"नमस्ते, आपका कस्टमर केयर सफलतापूर्वक पूरा हुआ।",genuine
आपने केवाईसी जीत लिया है! अधिक जानकारी के लिए अभी कॉल करें।,fraud
"आपका लॉटरी अपडेट नहीं है, कृपया तुरंत 9876543210 पर कॉल करें।",fraud
आपका कृपया कॉल करें अभी वेरिफाई नहीं हुआ है। तुरंत कार्य करें।,fraud
आपने ओटीपी जीत लिया है! अधिक जानकारी के लिए अभी कॉल करें।,fraud
"नमस्ते, आपका सुविधा सफलतापूर्वक पूरा हुआ।",genuine
आपने इनाम जीत लिया है! अधिक जानकारी के लिए अभी कॉल करें।,fraud
"आपका लॉटरी अपडेट नहीं है, कृपया तुरंत 9876543210 पर कॉल करें।",fraud
आपका ओटीपी अभी वेरिफाई नहीं हुआ है। तुरंत कार्य करें।,fraud
"प्रिय ग्राहक, आपकी मोबाइल तिथि 5 मई है। धन्यवाद।",genuine
आपका लॉटरी अभी वेरिफाई नहीं हुआ है। तुरंत कार्य करें।,fraud
आपका पुनः चालू अपडेट कर दिया गया है।,genuine
आपका भुगतान अपडेट कर दिया गया है।,genuine
आपने नकद पुरस्कार जीत लिया है! अधिक जानकारी के लिए अभी कॉल करें।,fraud
"आपका फ्री रिचार्ज अपडेट नहीं है, कृपया तुरंत 9876543210 पर कॉल करें।",fraud
"प्रिय ग्राहक, आपकी समस्या हल तिथि 5 मई है। धन्यवाद।",genuine
आपका पुनः चालू अपडेट कर दिया गया है।,genuine
"प्रिय ग्राहक, आपकी समस्या हल तिथि 5 मई है। धन्यवाद।",genuine
इनाम की जानकारी के बिना आपका खाता बंद किया जा सकता है।,fraud
आपने नकद पुरस्कार जीत लिया है! अधिक जानकारी के लिए अभी कॉल करें।,fraud
"प्रिय ग्राहक, आपकी भुगतान तिथि 5 मई है। धन्यवाद।",genuine
आपने जल्दी करें जीत लिया है! अधिक जानकारी के लिए अभी कॉल करें।,fraud
टैरिफ से संबंधित कोई समस्या हो तो कृपया संपर्क करें।,genuine
"प्रिय ग्राहक, आपकी सेवा तिथि 5 मई है। धन्यवाद।",genuine
नकद पुरस्कार की जानकारी के बिना आपका खाता बंद किया जा सकता है।,fraud
आपका टैरिफ अपडेट कर दिया गया है।,genuine
बैंक खाता की जानकारी के बिना आपका खाता बंद किया जा सकता है।,fraud
"आपका एकाउंट बंद अपडेट नहीं है, कृपया तुरंत 9876543210 पर कॉल करें।",fraud
एकाउंट बंद की जानकारी के बिना आपका खाता बंद किया जा सकता है।,fraud
कस्टमर केयर से संबंधित कोई समस्या हो तो कृपया संपर्क करें।,genuine
एकाउंट बंद की जानकारी के बिना आपका खाता बंद किया जा सकता है।,fraud
आपने नकद पुरस्कार जीत लिया है! अधिक जानकारी के लिए अभी कॉल करें।,fraud
कृपया कॉल करें की जानकारी के बिना आपका खाता बंद किया जा सकता है।,fraud
