Text,Label
आपका खाता बैलेंस ₹9146 है। धन्यवाद।,real
आपने लकी ड्रा में ₹38503 जीते हैं! अपना पुरस्कार प्राप्त करने के लिए इस नंबर पर कॉल करें: +919520992215,fraud
आपका पीएफ खाता अपडेट कर दिया गया है।,real
"प्रिय ग्राहक, आपका आधार नंबर आपके खाते से लिंक हो चुका है।",real
"आपकी हाल ही की लेन-देन ₹8641 की है। यदि आपने यह नहीं की, तो कृपया बैंक से संपर्क करें।",real
COVID सहायता के तहत ₹38573 पाने के लिए यह फॉर्म भरें: http://fakeurl.in/verify,fraud
आपका UPI ID बंद किया जा रहा है। कृपया अभी लॉग इन करें: http://fakeurl.in/verify,fraud
आपकी गाड़ी की सर्विसिंग 16/06/2025 को तय की गई है।,real
आपका खाता ब्लॉक हो गया है। कृपया इस लिंक पर क्लिक करें: http://fakeurl.in/verify,fraud
COVID सहायता के तहत ₹87038 पाने के लिए यह फॉर्म भरें: http://fakeurl.in/verify,fraud
आपका खाता बैलेंस ₹4961 है। धन्यवाद।,real
"आपकी हाल ही की लेन-देन ₹1588 की है। यदि आपने यह नहीं की, तो कृपया बैंक से संपर्क करें।",real
आपका बिजली बिल ₹9491 सफलतापूर्वक भुगतान किया गया।,real
आपकी फ्लाइट AI233 समय पर है। धन्यवाद।,real
आपने लकी ड्रा में ₹70688 जीते हैं! अपना पुरस्कार प्राप्त करने के लिए इस नंबर पर कॉल करें: +918771459573,fraud
आपकी फ्लाइट AI504 समय पर है। धन्यवाद।,real
आपकी गाड़ी की सर्विसिंग 2/04/2025 को तय की गई है।,real
आपके खाते में ₹1271 जमा किए गए हैं।,real
आपका मोबाइल रिचार्ज ₹4409 का सफल हुआ।,real
आपका मोबाइल रिचार्ज ₹8942 का सफल हुआ।,real
"प्रिय ग्राहक, आपका आधार नंबर आपके खाते से लिंक हो चुका है।",real
आपका इंश्योरेंस एक्सपायर हो गया है। रिन्यू करने के लिए इस नंबर पर कॉल करें: +917970980024,fraud
आपका UPI ID बंद किया जा रहा है। कृपया अभी लॉग इन करें: http://fakeurl.in/verify,fraud
आपका मोबाइल रिचार्ज ₹1185 का सफल हुआ।,real
आपकी फ्लाइट AI654 समय पर है। धन्यवाद।,real
आपको ₹43128 का कैशबैक मिला है। विवरण जानने के लिए लिंक खोलें: http://fakeurl.in/verify,fraud
आपका खाता अस्थायी रूप से बंद कर दिया गया है। सहायता के लिए कॉल करें: +919419095602,fraud
आपका इंश्योरेंस एक्सपायर हो गया है। रिन्यू करने के लिए इस नंबर पर कॉल करें: +917961070153,fraud
आपका खाता अस्थायी रूप से बंद कर दिया गया है। सहायता के लिए कॉल करें: +917064976125,fraud
आपकी फ्लाइट AI277 समय पर है। धन्यवाद।,real
आपका इंश्योरेंस एक्सपायर हो गया है। रिन्यू करने के लिए इस नंबर पर कॉल करें: +918917135740,fraud
आपने लकी ड्रा में ₹80722 जीते हैं! अपना पुरस्कार प्राप्त करने के लिए इस नंबर पर कॉल करें: +918308888972,fraud
आपका मोबाइल रिचार्ज ₹7276 का सफल हुआ।,real
आपको ₹55530 का कैशबैक मिला है। विवरण जानने के लिए लिंक खोलें: http://fakeurl.in/verify,fraud
आपने फ्री गिफ्ट जीता है! दावा करने के लिए लिंक पर जाएं: http://fakeurl.in/verify,fraud
आपका खाता ब्लॉक हो गया है। कृपया इस लिंक पर क्लिक करें: http://fakeurl.in/verify,fraud
"प्रिय ग्राहक, आपका आधार नंबर आपके खाते से लिंक हो चुका है।",real
आपका ATM कार्ड एक्सपायर हो गया है। नया कार्ड पाने के लिए OTP साझा करें।,fraud
आपका खाता अस्थायी रूप से बंद कर दिया गया है। सहायता के लिए कॉल करें: +917633451827,fraud
आपकी गाड़ी की सर्विसिंग 21/08/2025 को तय की गई है।,real
आपने फ्री गिफ्ट जीता है! दावा करने के लिए लिंक पर जाएं: http://fakeurl.in/verify,fraud
आपका UPI ID बंद किया जा रहा है। कृपया अभी लॉग इन करें: http://fakeurl.in/verify,fraud
COVID सहायता के तहत ₹36881 पाने के लिए यह फॉर्म भरें: http://fakeurl.in/verify,fraud
आपका बैंक खाता सफलतापूर्वक अपडेट किया गया है।,real
आपका इंश्योरेंस एक्सपायर हो गया है। रिन्यू करने के लिए इस नंबर पर कॉल करें: +918637790939,fraud
आपको ₹64570 का कैशबैक मिला है। विवरण जानने के लिए लिंक खोलें: http://fakeurl.in/verify,fraud
IRCTC अकाउंट बंद हो जाएगा। तुरंत सत्यापन करें: http://fakeurl.in/verify,fraud
आपको ₹15011 का कैशबैक मिला है। विवरण जानने के लिए लिंक खोलें: http://fakeurl.in/verify,fraud
आपका खाता अस्थायी रूप से बंद कर दिया गया है। सहायता के लिए कॉल करें: +918385706200,fraud
आपका खाता अस्थायी रूप से बंद कर दिया गया है। सहायता के लिए कॉल करें: +919158976564,fraud
"प्रिय ग्राहक, आपका आधार नंबर आपके खाते से लिंक हो चुका है।",real
आपका मोबाइल रिचार्ज ₹6180 का सफल हुआ।,real
आपका मोबाइल रिचार्ज ₹5081 का सफल हुआ।,real
आपका ATM कार्ड एक्सपायर हो गया है। नया कार्ड पाने के लिए OTP साझा करें।,fraud
आपको ₹63943 का कैशबैक मिला है। विवरण जानने के लिए लिंक खोलें: http://fakeurl.in/verify,fraud
आपका इंश्योरेंस एक्सपायर हो गया है। रिन्यू करने के लिए इस नंबर पर कॉल करें: +917096050875,fraud
"प्रिय ग्राहक, आपका आधार नंबर आपके खाते से लिंक हो चुका है।",real
आपका मोबाइल रिचार्ज ₹3980 का सफल हुआ।,real
IRCTC अकाउंट बंद हो जाएगा। तुरंत सत्यापन करें: http://fakeurl.in/verify,fraud
COVID सहायता के तहत ₹3045 पाने के लिए यह फॉर्म भरें: http://fakeurl.in/verify,fraud
आपका खाता ब्लॉक हो गया है। कृपया इस लिंक पर क्लिक करें: http://fakeurl.in/verify,fraud
आपका पीएफ खाता अपडेट कर दिया गया है।,real
आपने फ्री गिफ्ट जीता है! दावा करने के लिए लिंक पर जाएं: http://fakeurl.in/verify,fraud
आपकी फ्लाइट AI608 समय पर है। धन्यवाद।,real
आपका मोबाइल रिचार्ज ₹9650 का सफल हुआ।,real
आपका बैंक खाता सफलतापूर्वक अपडेट किया गया है।,real
आपको ₹77571 का कैशबैक मिला है। विवरण जानने के लिए लिंक खोलें: http://fakeurl.in/verify,fraud
आपका खाता ब्लॉक हो गया है। कृपया इस लिंक पर क्लिक करें: http://fakeurl.in/verify,fraud
आपको ₹20882 का कैशबैक मिला है। विवरण जानने के लिए लिंक खोलें: http://fakeurl.in/verify,fraud
आपका पीएफ खाता अपडेट कर दिया गया है।,real
आपका UPI ID बंद किया जा रहा है। कृपया अभी लॉग इन करें: http://fakeurl.in/verify,fraud
आपका खाता अस्थायी रूप से बंद कर दिया गया है। सहायता के लिए कॉल करें: +917933790158,fraud
आपका UPI ID बंद किया जा रहा है। कृपया अभी लॉग इन करें: http://fakeurl.in/verify,fraud
आपका इंश्योरेंस एक्सपायर हो गया है। रिन्यू करने के लिए इस नंबर पर कॉल करें: +918004119627,fraud
आपका बिजली बिल ₹1888 सफलतापूर्वक भुगतान किया गया।,real
IRCTC अकाउंट बंद हो जाएगा। तुरंत सत्यापन करें: http://fakeurl.in/verify,fraud
"आपकी हाल ही की लेन-देन ₹6223 की है। यदि आपने यह नहीं की, तो कृपया बैंक से संपर्क करें।",real
आपका इंश्योरेंस एक्सपायर हो गया है। रिन्यू करने के लिए इस नंबर पर कॉल करें: +917549126111,fraud
आपका बिजली बिल ₹5689 सफलतापूर्वक भुगतान किया गया।,real
आपका UPI ID बंद किया जा रहा है। कृपया अभी लॉग इन करें: http://fakeurl.in/verify,fraud
आपका खाता ब्लॉक हो गया है। कृपया इस लिंक पर क्लिक करें: http://fakeurl.in/verify,fraud
आपका बिजली बिल ₹8338 सफलतापूर्वक भुगतान किया गया।,real
आपका इंश्योरेंस एक्सपायर हो गया है। रिन्यू करने के लिए इस नंबर पर कॉल करें: +918359888306,fraud
आपने लकी ड्रा में ₹34309 जीते हैं! अपना पुरस्कार प्राप्त करने के लिए इस नंबर पर कॉल करें: +919731343516,fraud
आपका खाता अस्थायी रूप से बंद कर दिया गया है। सहायता के लिए कॉल करें: +917092617427,fraud
"आपकी हाल ही की लेन-देन ₹3589 की है। यदि आपने यह नहीं की, तो कृपया बैंक से संपर्क करें।",real
आपकी फ्लाइट AI997 समय पर है। धन्यवाद।,real
आपकी फ्लाइट AI895 समय पर है। धन्यवाद।,real
आपने फ्री गिफ्ट जीता है! दावा करने के लिए लिंक पर जाएं: http://fakeurl.in/verify,fraud
आपने फ्री गिफ्ट जीता है! दावा करने के लिए लिंक पर जाएं: http://fakeurl.in/verify,fraud
आपकी फ्लाइट AI355 समय पर है। धन्यवाद।,real
आपने फ्री गिफ्ट जीता है! दावा करने के लिए लिंक पर जाएं: http://fakeurl.in/verify,fraud
आपने फ्री गिफ्ट जीता है! दावा करने के लिए लिंक पर जाएं: http://fakeurl.in/verify,fraud
आपका इंश्योरेंस एक्सपायर हो गया है। रिन्यू करने के लिए इस नंबर पर कॉल करें: +917077369815,fraud
"आपकी हाल ही की लेन-देन ₹6545 की है। यदि आपने यह नहीं की, तो कृपया बैंक से संपर्क करें।",real
आपका खाता बैलेंस ₹9640 है। धन्यवाद।,real
"प्रिय ग्राहक, आपका आधार नंबर आपके खाते से लिंक हो चुका है।",real
आपने लकी ड्रा में ₹74528 जीते हैं! अपना पुरस्कार प्राप्त करने के लिए इस नंबर पर कॉल करें: +917276127972,fraud
आपका खाता बैलेंस ₹783 है। धन्यवाद।,real
आपका बैंक खाता सफलतापूर्वक अपडेट किया गया है।,real
आपका मोबाइल रिचार्ज ₹4842 का सफल हुआ।,real
आपका बैंक खाता सफलतापूर्वक अपडेट किया गया है।,real
आपका पीएफ खाता अपडेट कर दिया गया है।,real
आपका पीएफ खाता अपडेट कर दिया गया है।,real
आपका बैंक खाता सफलतापूर्वक अपडेट किया गया है।,real
आपका खाता ब्लॉक हो गया है। कृपया इस लिंक पर क्लिक करें: http://fakeurl.in/verify,fraud
COVID सहायता के तहत ₹64499 पाने के लिए यह फॉर्म भरें: http://fakeurl.in/verify,fraud
आपके खाते में ₹6340 जमा किए गए हैं।,real
आपका बिजली बिल ₹8489 सफलतापूर्वक भुगतान किया गया।,real
