id,file_name,label,transcript
00001,audio/00001.wav,fraud,మీ ఇన్సూరెన్స్ పాలసీ చెల్లించాలి. ఇతరత్రా వివరాలు ఇవ్వండి.
00002,audio/00002.wav,real,కస్టమర్ సపోర్ట్ నుంచి మాట్లాడుతున్నాము. మీకు సహాయం కావాలా?
00003,audio/00003.wav,fraud,మీ ఖాతా బ్లాక్ చేయబడింది. వివరాల కోసం ఈ నంబరుకు కాల్ చేయండి.
00004,audio/00004.wav,fraud,మీ ఇన్సూరెన్స్ పాలసీ చెల్లించాలి. ఇతరత్రా వివరాలు ఇవ్వండి.
00005,audio/00005.wav,real,మీ పేమెంట్ విజయవంతమైంది. ధన్యవాదాలు!
00006,audio/00006.wav,fraud,మీ మొబైల్ నెట్‌వర్క్‌లో సమస్య ఉంది. వివరాల కోసం కాల్ చేయండి.
00007,audio/00007.wav,real,మీ బ్యాంక్ స్టేట్‌మెంట్ ఈమెయిల్ కు పంపించాము.
00008,audio/00008.wav,real,మీ గ్యాస్ బుకింగ్ విజయవంతంగా పూర్తైంది.
00009,audio/00009.wav,real,మీ డాక్టర్ అపాయింట్మెంట్ రేపు ఉదయం 10 గంటలకు ఉంది.
00010,audio/00010.wav,fraud,"మీరు ₹25,000 గెలుచుకున్నారు. మీ బ్యాంక్ వివరాలను ఇవ్వండి."
00011,audio/00011.wav,fraud,మీ మొబైల్ నెట్‌వర్క్‌లో సమస్య ఉంది. వివరాల కోసం కాల్ చేయండి.
00012,audio/00012.wav,fraud,"మీరు ₹25,000 గెలుచుకున్నారు. మీ బ్యాంక్ వివరాలను ఇవ్వండి."
00013,audio/00013.wav,real,మీ గ్యాస్ బుకింగ్ విజయవంతంగా పూర్తైంది.
00014,audio/00014.wav,fraud,మీ పాన్ కార్డు బ్లాక్ అవుతుంది. వెంటనే స్పందించండి.
00015,audio/00015.wav,real,మీ డాక్టర్ అపాయింట్మెంట్ రేపు ఉదయం 10 గంటలకు ఉంది.
00016,audio/00016.wav,fraud,మీ బ్యాంక్ ఖాతా బహుళ ప్రయత్నాల వల్ల తాత్కాలికంగా నిలిపివేయబడింది.
00017,audio/00017.wav,fraud,మీ పాన్ కార్డు బ్లాక్ అవుతుంది. వెంటనే స్పందించండి.
00018,audio/00018.wav,fraud,మీ ఆదాయపు పన్ను రీఫండ్ కోసం ఓటీపీ చెప్పండి.
00019,audio/00019.wav,real,మీ గ్యాస్ బుకింగ్ విజయవంతంగా పూర్తైంది.
00020,audio/00020.wav,fraud,మీ మొబైల్ నంబర్ Jio లో గెలిచింది. వివరాలు పంపండి.
00021,audio/00021.wav,real,మీ విద్యుత్ బిల్లు ఈ నెల చివరలో చెల్లించాలి.
00022,audio/00022.wav,real,"నమస్తే సార్, మీ ఆర్డర్ రేపు డెలివరీ అవుతుంది."
00023,audio/00023.wav,real,మీ విద్యుత్ బిల్లు ఈ నెల చివరలో చెల్లించాలి.
00024,audio/00024.wav,fraud,మీ ఇన్సూరెన్స్ పాలసీ చెల్లించాలి. ఇతరత్రా వివరాలు ఇవ్వండి.
00025,audio/00025.wav,fraud,మీ ఇన్సూరెన్స్ పాలసీ చెల్లించాలి. ఇతరత్రా వివరాలు ఇవ్వండి.
00026,audio/00026.wav,fraud,మీ ఖాతా బ్లాక్ చేయబడింది. వివరాల కోసం ఈ నంబరుకు కాల్ చేయండి.
00027,audio/00027.wav,real,మీ గ్యాస్ బుకింగ్ విజయవంతంగా పూర్తైంది.
00028,audio/00028.wav,real,మీ పేమెంట్ విజయవంతమైంది. ధన్యవాదాలు!
00029,audio/00029.wav,real,మీ గ్యాస్ బుకింగ్ విజయవంతంగా పూర్తైంది.
00030,audio/00030.wav,real,మీ డాక్టర్ అపాయింట్మెంట్ రేపు ఉదయం 10 గంటలకు ఉంది.
00031,audio/00031.wav,real,"నమస్తే సార్, మీ ఆర్డర్ రేపు డెలివరీ అవుతుంది."
00032,audio/00032.wav,real,మీ ఫోన్ రిపేర్ పూర్తైంది. దయచేసి తీసుకెళ్లండి.
00033,audio/00033.wav,real,మీ ఇంటర్నెట్ కనెక్షన్ రీసెట్ చేయబడింది.
00034,audio/00034.wav,fraud,మీ ఆదాయపు పన్ను రీఫండ్ కోసం ఓటీపీ చెప్పండి.
00035,audio/00035.wav,real,కస్టమర్ సపోర్ట్ నుంచి మాట్లాడుతున్నాము. మీకు సహాయం కావాలా?
00036,audio/00036.wav,fraud,మీ ఇన్సూరెన్స్ పాలసీ చెల్లించాలి. ఇతరత్రా వివరాలు ఇవ్వండి.
00037,audio/00037.wav,real,"నమస్తే సార్, మీ ఆర్డర్ రేపు డెలివరీ అవుతుంది."
00038,audio/00038.wav,real,మీ సబ్‌స్క్రిప్షన్ నూతనీకరించబడింది.
00039,audio/00039.wav,real,"నమస్తే సార్, మీ ఆర్డర్ రేపు డెలివరీ అవుతుంది."
00040,audio/00040.wav,fraud,మీ పాన్ కార్డు బ్లాక్ అవుతుంది. వెంటనే స్పందించండి.
00041,audio/00041.wav,real,మీ గ్యాస్ బుకింగ్ విజయవంతంగా పూర్తైంది.
00042,audio/00042.wav,real,మీ ఫోన్ రిపేర్ పూర్తైంది. దయచేసి తీసుకెళ్లండి.
00043,audio/00043.wav,fraud,మీ ఇన్సూరెన్స్ పాలసీ చెల్లించాలి. ఇతరత్రా వివరాలు ఇవ్వండి.
00044,audio/00044.wav,fraud,మీ ఆదాయపు పన్ను రీఫండ్ కోసం ఓటీపీ చెప్పండి.
00045,audio/00045.wav,real,మీ డాక్టర్ అపాయింట్మెంట్ రేపు ఉదయం 10 గంటలకు ఉంది.
00046,audio/00046.wav,fraud,మీ ఖాతా బ్లాక్ చేయబడింది. వివరాల కోసం ఈ నంబరుకు కాల్ చేయండి.
00047,audio/00047.wav,fraud,మీకు లక్కీ డ్రాలో బహుమతి వచ్చింది. డెలివరీ చార్జ్ పంపండి.
00048,audio/00048.wav,real,మీ సబ్‌స్క్రిప్షన్ నూతనీకరించబడింది.
00049,audio/00049.wav,fraud,మీ మొబైల్ నెట్‌వర్క్‌లో సమస్య ఉంది. వివరాల కోసం కాల్ చేయండి.
00050,audio/00050.wav,real,మీ గ్యాస్ బుకింగ్ విజయవంతంగా పూర్తైంది.
00051,audio/00051.wav,real,మీ డాక్టర్ అపాయింట్మెంట్ రేపు ఉదయం 10 గంటలకు ఉంది.
00052,audio/00052.wav,real,మీ గ్యాస్ బుకింగ్ విజయవంతంగా పూర్తైంది.
00053,audio/00053.wav,real,మీ డాక్టర్ అపాయింట్మెంట్ రేపు ఉదయం 10 గంటలకు ఉంది.
00054,audio/00054.wav,real,మీ పేమెంట్ విజయవంతమైంది. ధన్యవాదాలు!
00055,audio/00055.wav,real,మీ బ్యాంక్ స్టేట్‌మెంట్ ఈమెయిల్ కు పంపించాము.
00056,audio/00056.wav,fraud,మీ ఖాతా బ్లాక్ చేయబడింది. వివరాల కోసం ఈ నంబరుకు కాల్ చేయండి.
00057,audio/00057.wav,fraud,మీ ఆదాయపు పన్ను రీఫండ్ కోసం ఓటీపీ చెప్పండి.
00058,audio/00058.wav,fraud,మీ మొబైల్ నెట్‌వర్క్‌లో సమస్య ఉంది. వివరాల కోసం కాల్ చేయండి.
00059,audio/00059.wav,fraud,మీ ఇన్సూరెన్స్ పాలసీ చెల్లించాలి. ఇతరత్రా వివరాలు ఇవ్వండి.
00060,audio/00060.wav,real,కస్టమర్ సపోర్ట్ నుంచి మాట్లాడుతున్నాము. మీకు సహాయం కావాలా?
00061,audio/00061.wav,fraud,"మీరు ₹25,000 గెలుచుకున్నారు. మీ బ్యాంక్ వివరాలను ఇవ్వండి."
00062,audio/00062.wav,fraud,మీ ఖాతా బ్లాక్ చేయబడింది. వివరాల కోసం ఈ నంబరుకు కాల్ చేయండి.
00063,audio/00063.wav,fraud,"మీరు ₹25,000 గెలుచుకున్నారు. మీ బ్యాంక్ వివరాలను ఇవ్వండి."
00064,audio/00064.wav,real,మీ ఇంటర్నెట్ కనెక్షన్ రీసెట్ చేయబడింది.
00065,audio/00065.wav,fraud,మీ మొబైల్ నంబర్ Jio లో గెలిచింది. వివరాలు పంపండి.
00066,audio/00066.wav,fraud,మీకు లక్కీ డ్రాలో బహుమతి వచ్చింది. డెలివరీ చార్జ్ పంపండి.
00067,audio/00067.wav,fraud,"మీరు ₹25,000 గెలుచుకున్నారు. మీ బ్యాంక్ వివరాలను ఇవ్వండి."
00068,audio/00068.wav,real,"నమస్తే సార్, మీ ఆర్డర్ రేపు డెలివరీ అవుతుంది."
00069,audio/00069.wav,fraud,మీ ఇన్సూరెన్స్ పాలసీ చెల్లించాలి. ఇతరత్రా వివరాలు ఇవ్వండి.
00070,audio/00070.wav,fraud,మీ ఇన్సూరెన్స్ పాలసీ చెల్లించాలి. ఇతరత్రా వివరాలు ఇవ్వండి.
00071,audio/00071.wav,real,మీ ఫోన్ రిపేర్ పూర్తైంది. దయచేసి తీసుకెళ్లండి.
00072,audio/00072.wav,real,మీ విద్యుత్ బిల్లు ఈ నెల చివరలో చెల్లించాలి.
00073,audio/00073.wav,fraud,మీ ఖాతా బ్లాక్ చేయబడింది. వివరాల కోసం ఈ నంబరుకు కాల్ చేయండి.
00074,audio/00074.wav,real,మీ ఫోన్ రిపేర్ పూర్తైంది. దయచేసి తీసుకెళ్లండి.
00075,audio/00075.wav,real,మీ విద్యుత్ బిల్లు ఈ నెల చివరలో చెల్లించాలి.
00076,audio/00076.wav,fraud,మీ మొబైల్ నంబర్ Jio లో గెలిచింది. వివరాలు పంపండి.
00077,audio/00077.wav,fraud,మీ బ్యాంక్ ఖాతా బహుళ ప్రయత్నాల వల్ల తాత్కాలికంగా నిలిపివేయబడింది.
00078,audio/00078.wav,real,మీ డాక్టర్ అపాయింట్మెంట్ రేపు ఉదయం 10 గంటలకు ఉంది.
00079,audio/00079.wav,real,మీ పేమెంట్ విజయవంతమైంది. ధన్యవాదాలు!
00080,audio/00080.wav,fraud,మీ పాన్ కార్డు బ్లాక్ అవుతుంది. వెంటనే స్పందించండి.
00081,audio/00081.wav,real,మీ పేమెంట్ విజయవంతమైంది. ధన్యవాదాలు!
00082,audio/00082.wav,real,మీ బ్యాంక్ స్టేట్‌మెంట్ ఈమెయిల్ కు పంపించాము.
00083,audio/00083.wav,fraud,"మీరు ₹25,000 గెలుచుకున్నారు. మీ బ్యాంక్ వివరాలను ఇవ్వండి."
00084,audio/00084.wav,fraud,మీ ఇన్సూరెన్స్ పాలసీ చెల్లించాలి. ఇతరత్రా వివరాలు ఇవ్వండి.
00085,audio/00085.wav,fraud,మీకు లక్కీ డ్రాలో బహుమతి వచ్చింది. డెలివరీ చార్జ్ పంపండి.
00086,audio/00086.wav,real,మీ బ్యాంక్ స్టేట్‌మెంట్ ఈమెయిల్ కు పంపించాము.
00087,audio/00087.wav,real,మీ పేమెంట్ విజయవంతమైంది. ధన్యవాదాలు!
00088,audio/00088.wav,real,మీ డాక్టర్ అపాయింట్మెంట్ రేపు ఉదయం 10 గంటలకు ఉంది.
00089,audio/00089.wav,fraud,మీ మొబైల్ నంబర్ Jio లో గెలిచింది. వివరాలు పంపండి.
00090,audio/00090.wav,fraud,మీ మొబైల్ నంబర్ Jio లో గెలిచింది. వివరాలు పంపండి.
00091,audio/00091.wav,real,మీ ఇంటర్నెట్ కనెక్షన్ రీసెట్ చేయబడింది.
00092,audio/00092.wav,fraud,మీ ATM కార్డు సుదీర్ఘ కాలంగా ఉపయోగించలేదు. దీని కోసం ఓటీపీ ఇవ్వండి.
00093,audio/00093.wav,fraud,మీ ATM కార్డు సుదీర్ఘ కాలంగా ఉపయోగించలేదు. దీని కోసం ఓటీపీ ఇవ్వండి.
00094,audio/00094.wav,fraud,మీ ఇన్సూరెన్స్ పాలసీ చెల్లించాలి. ఇతరత్రా వివరాలు ఇవ్వండి.
