Text,Label
మీ ఖాతాలో ₹2000 జమ చేయబడింది,0
మీ ఆధార్ కార్డ్ గడువు ముగిసింది. లింక్ చేయండి,1
మీ రెచార్జ్ విజయవంతమైంది,0
"మీ క్షమించండి, మీరు అకౌంట్ మిస్ చేశారు. తిరిగి పొందేందుకు క్లిక్ చేయండి: http://bit.ly/33231",1
మీ ఇన్షూరెన్స్ నూతనీకరణ విజయవంతం,0
మీరు ₹10 లక్షల లాటరీ గెలిచారు! వివరాల కోసం 9125266762 ను సంప్రదించండి,1
మీ కొత్త ఆర్డర్ డిస్పాచ్ చేయబడింది,0
మీరు ₹10 లక్షల లాటరీ గెలిచారు! వివరాల కోసం 9850949380 ను సంప్రదించండి,1
మీ ఖాతా నుండి డబ్బు డిడక్ట్ అయింది. రీఫండ్ పొందేందుకు http://bit.ly/46951 సందర్శించండి,1
మీరు ₹10 లక్షల లాటరీ గెలిచారు! వివరాల కోసం 9451742466 ను సంప్రదించండి,1
మీ ఖాతా బ్లాక్ చేయబడుతుంది. వెంటనే కాల్ చేయండి: 9368580820,1
మీ ఖాతా నుండి డబ్బు డిడక్ట్ అయింది. రీఫండ్ పొందేందుకు http://bit.ly/20752 సందర్శించండి,1
మీ ఖాతాలో ₹500 జమ చేయబడింది,0
మీ బ్యాలెన్స్ ₹500 ఉంది,0
మీ ఖాతాలో ₹1000 జమ చేయబడింది,0
మీ ATM కార్డ్ బ్లాక్ అయింది. రీఅక్టివేట్ చేయడానికి http://bit.ly/28768 క్లిక్ చేయండి,1
మీ ఇన్షూరెన్స్ నూతనీకరణ విజయవంతం,0
"మీ క్షమించండి, మీరు అకౌంట్ మిస్ చేశారు. తిరిగి పొందేందుకు క్లిక్ చేయండి: http://bit.ly/32752",1
మీ ఖాతాలో ₹2000 జమ చేయబడింది,0
మీ కొత్త ఆర్డర్ డిస్పాచ్ చేయబడింది,0
మీ ఖాతా నుండి డబ్బు డిడక్ట్ అయింది. రీఫండ్ పొందేందుకు http://bit.ly/35832 సందర్శించండి,1
మీ రెచార్జ్ విజయవంతమైంది,0
మీ విద్యుత్ బిల్లు ఈ నెల ₹1000 రూపాయలు,0
